,category,type,difficulty,question,correct_answer,incorrect_answers
0,Entertainment: Video Games,boolean,easy,Peter Molyneux was the founder of Bullfrog Productions.,True,False
0,Geography,boolean,easy,A group of islands is called an &#039;archipelago&#039;.,True,False
0,History,boolean,medium,The two atomic bombs dropped on Japan by the United States in August 1945 were named &#039;Little Man&#039; and &#039;Fat Boy&#039;.,False,True
0,Entertainment: Music,boolean,medium,The cover of The Beatles album &quot;Abbey Road&quot; featured a Volkswagen Beetle in the background.,True,False
0,Entertainment: Video Games,boolean,easy,The Mann Co. Store from Team Fortress 2 has the slogan &quot;We hire mercenaries and get in fights&quot;.,False,True
0,Science & Nature,boolean,medium,The &quot;Gympie Stinger&quot; is the deadliest plant in the world.,False,True
0,Politics,boolean,easy,The S in Harry S. Truman stands for &quot;Samuel&quot;.,False,True
0,Entertainment: Music,boolean,medium,Norwegian producer Kygo released a remix of the song &quot;Sexual Healing&quot; by Marvin Gaye.,True,False
0,Science: Computers,boolean,easy,The logo for Snapchat is a Bell.,False,True
0,Science & Nature,boolean,medium,"Like with the Neanderthals, Homo sapiens sapiens also interbred with the Denisovans.",True,False
0,History,boolean,medium,"Sargon II, a king of the Neo-Assyrian Empire, was a direct descendant of Sargon of Akkad.",False,True
0,Geography,boolean,easy,There is a city called Rome in every continent on Earth.,False,True
0,Science: Mathematics,boolean,easy,"A universal set, or a set that contains all sets, exists.",False,True
0,History,boolean,easy,The United States Department of Homeland Security was formed in response to the September 11th attacks.,True,False
0,Entertainment: Video Games,boolean,medium,Tony Hawk&#039;s Pro Skater was released in 1999.,True,False
0,General Knowledge,boolean,medium,The average woman is 5 inches / 13 centimeters shorter than the average man.,True,False
0,Science: Computers,boolean,medium,MacOS is based on Linux.,False,True
0,Entertainment: Video Games,boolean,medium,"In &quot;Team Fortress 2&quot;, the &quot;Bill&#039;s Hat&quot; is a reference to the game &quot;Dota 2&quot;.",False,True
0,Politics,boolean,easy,The 2016 United States Presidential Election is the first time Hillary Clinton has run for President.,False,True
0,Geography,boolean,easy,There are no deserts in Europe.,True,False
0,Entertainment: Video Games,boolean,medium,"TF2: The Heavy&#039;s voice actor, Gary Schwartz, voices the Demoman as well ",True,False
0,Entertainment: Television,boolean,medium,"In the TV series Red Dwarf, Kryten&#039;s full name is Kryten 2X4B-523P.",True,False
0,Geography,boolean,medium,Antarctica is the largest desert in the world.,True,False
0,Science: Computers,boolean,easy,"In most programming languages, the operator ++ is equivalent to the statement &quot;+= 1&quot;.",True,False
0,General Knowledge,boolean,easy,The Lego Group was founded in 1932.,True,False
0,Entertainment: Music,boolean,easy,"The song &quot;Stronger Than You&quot; is a single by Estelle, who played Garnet in Steven Universe.",True,False
0,Entertainment: Music,boolean,medium,&quot;Twenty One Pilots&quot; made the song &quot;The Motion&quot; featuring Sampha.,False,True
0,Entertainment: Video Games,boolean,easy,"Ana was added as a new hero for the game Overwatch on July 19th, 2016.",True,False
0,Science: Computers,boolean,hard,The IBM PC used an Intel 8008 microprocessor clocked at 4.77 MHz and 8 kilobytes of memory.,False,True
0,Science: Gadgets,boolean,easy,"Microphones can be used not only to pick up sound, but also to project sound similar to a speaker.",True,False
0,Sports,boolean,easy,Roger Federer is a famous soccer player.,False,True
0,Vehicles,boolean,medium,Ferrari has never made a V10 engine for any of its cars.,False,True
0,Entertainment: Music,boolean,easy,A Saxophone is a brass instrument.,False,True
0,Science & Nature,boolean,easy,An exothermic reaction is a chemical reaction that releases energy by radiating electricity.,False,True
0,Science & Nature,boolean,medium,"In the periodic table, Potassium&#039;s symbol is the letter K.",True,False
0,Entertainment: Film,boolean,easy,"In the movie The Revenant, DiCaprio&#039;s character hunts down the killer of his son.",True,False
0,Entertainment: Video Games,boolean,easy,"In RuneScape, one must complete the &quot;Dragon Slayer&quot; quest before equipping Rune Platelegs.",False,True
0,Entertainment: Music,boolean,medium,Pink Guy&#039;s debut album was &quot;Pink Season&quot;.,False,True
0,Entertainment: Video Games,boolean,hard,"All of these maps were in &quot;Tom Clancy&#039;s Rainbow Six Siege&quot; on its initial release: House, Clubhouse, Border, Consulate.",False,True
