,question,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF
0,'Cheval' is French for 'cow',0.4102564102564105,0.0,0,9.0
1,10 - Malignant melanoma 3 (SSM).jpg,0.12153846153846158,0.0,0,0.0
2,11 - Benign hemangioma.jpg,0.11166666666666664,2.0,0,0.0
3,15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,0.12000000000000005,0.0,0,0.0
4,19 - Benign eclipse_nevus_7_080322.jpg,0.16666666666666666,0.0,0,0.0
5,19 - Malignant ListaImagens\basal_cell_carcinoma133.jpg,0.2416,0.0,4,4.0
6,2 - benign trichoblastoma.jpg,0.11416666666666668,5.0,0,4.0
7,2 - maligant basal cell carcinoma morpheform.jpg,0.12230769230769227,0.0,0,3.0
8,21 - Malignant ListaImagens\basal_cell_carcinoma163.jpg,0.24120000000000005,0.0,0,2.0
9,22 - Malignant ListaImagens\basal_cell_carcinoma16.jpg,0.2307692307692308,3.0,0,0.0
10,23 - Benign ListaImagens\Angiokeratoma-Solitary_Angiokeratoma2.jpg,0.24080000000000004,2.0,0,0.0
11,27 - Malignant ListaImagens\basal_cell_carcinoma90.jpg,0.2400000000000001,0.0,0,0.0
12,28 - Malignant Squamous Cell Carcinoma ListaImagens\Bowen's_Disease4.jpg,0.12000000000000005,0.0,0,0.0
13,3 - benign dermatofibroma.jpg,0.2400000000000001,0.0,0,5.0
14,30 - Malignant ListaImagens\melanocytic_naevi_intrademal1.jpg,0.2307692307692308,3.0,0,0.0
15,33 - Malignant ListaImagens\melanoma14.jpg,0.1538461538461538,2.0,0,0.0
16,37 - Benign ListaImagens\granuloma_pyogenic11.jpg,0.2800000000000002,0.0,3,4.0
17,37 - Malignant ListaImagens\melanoma70.jpg,0.24279999999999996,0.0,2,6.0
18,4 - benign xanthogranuloma.jpg,0.4800000000000002,0.0,10,11.0
19,4 - malignant superficial spreading melanoma.jpg,0.2400000000000001,0.0,0,0.0
20,41 - Malignant ListaImagens\fibroxanthoma-atypical_fibroxanthoma1.jpg,0.16000000000000006,4.0,0,2.0
