q,"confidence_(0.5, 0.55]","confidence_(0.55, 0.6]","confidence_(0.6, 0.65]","confidence_(0.65, 0.7]","confidence_(0.7, 0.75]","confidence_(0.75, 0.8]","confidence_(0.8, 0.85]","confidence_(0.85, 0.9]","confidence_(0.9, 0.95]","confidence_(0.95, 1.0]","sc_(0.0, 0.05]","sc_(0.05, 0.1]","sc_(0.1, 0.15]","sc_(0.15, 0.2]","sc_(0.2, 0.25]","sc_(0.25, 0.3]","sc_(0.3, 0.35]","sc_(0.35, 0.4]","sc_(0.4, 0.45]","sc_(0.45, 0.5]","sc_(0.5, 0.55]","sc_(0.55, 0.6]","sc_(0.6, 0.65]","sc_(0.65, 0.7]","sc_(0.7, 0.75]","sc_(0.75, 0.8]","sc_(0.8, 0.85]","sc_(0.85, 0.9]","sc_(0.9, 0.95]","sc_(0.95, 1.0]",number_of_participants,own_percentage,mean_sc,std_sc,min_sc,p25_sc,p50_sc,p75_sc,max_sc,mean_conf,std_conf,min_conf,p25_conf,p50_conf,p75_conf,max_conf,skew_own,skew_sc,skew_conf,skew_row_average,skew_row_skew,minority_percentage,real_expert_number,P_expert_number_rT,P_expert_number_rF,MEAN_P_expert_rT,MEAN_P_expert_rF,prelec_prediction,majority_prediction,x0_dermatology,x0_state,x0_trivia_Beijing,x0_trivia_Berlin,x0_trivia_Boer,x0_trivia_Borneo,x0_trivia_Georgia,x0_trivia_Greek,x0_trivia_Memphis,x0_trivia_Ocean,x0_trivia_Rosetta,x0_trivia_Tin,x0_trivia_africa,x0_trivia_alex,x0_trivia_alpha,x0_trivia_anagram,x0_trivia_andes,x0_trivia_aorta,x0_trivia_atlantic,x0_trivia_baikal,x0_trivia_bigben,x0_trivia_billy,x0_trivia_birm,x0_trivia_brass,x0_trivia_china,x0_trivia_churchil,x0_trivia_constant,x0_trivia_cow,x0_trivia_custer,x0_trivia_cyprus,x0_trivia_death,x0_trivia_dot,x0_trivia_ecuador,x0_trivia_eggs,x0_trivia_einstein,x0_trivia_euro,x0_trivia_faroe,x0_trivia_femur,x0_trivia_fluffy,x0_trivia_french,x0_trivia_hydrogen,x0_trivia_iberian,x0_trivia_indiana,x0_trivia_insects,x0_trivia_iron,x0_trivia_japan,x0_trivia_jhb,x0_trivia_joan,x0_trivia_jupiter,x0_trivia_khan,x0_trivia_kili,x0_trivia_kyrgyz,x0_trivia_landl,x0_trivia_leg,x0_trivia_leptons,x0_trivia_letters,x0_trivia_lincoln,x0_trivia_living,x0_trivia_louis,x0_trivia_macbeth,x0_trivia_moldova,x0_trivia_mozam,x0_trivia_muon,x0_trivia_nero,x0_trivia_newz,x0_trivia_nigeria,x0_trivia_nile,x0_trivia_nitrogen,x0_trivia_norway,x0_trivia_red,x0_trivia_riverSA,x0_trivia_rocket,x0_trivia_rome,x0_trivia_russian,x0_trivia_sahara,x0_trivia_station,x0_trivia_uranus,x0_trivia_vjday,x0_trivia_widow,x0_trivia_wu,x0_trivia_year,x0_trivia_zip,actual
'Cheval' is French for 'cow',-0.3509404590562663,-0.42473030407980755,-0.2606936229533505,-0.5326850415675601,-0.31698338899620826,-0.11852907537019251,-0.2794045713622833,-1.110937420973608,-0.27173375006901496,-0.2857137392116411,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,0.22349761657304876,0.8232716768774668,-0.39435351906224914,-0.653149892690036,0.3234797386917803,0.6883158141233207,1.7182465620361598,1.2594252804751698,1.0615019171625986,-0.6998146363418264,-0.4604805568506418,-0.041665327139358894,-1.1448939567931997,-0.5627887162486921,-1.0272603689813333,-0.4541542867996389,-0.32443490784032697,1.1039974840887428,-0.6381530045487441,-1.2048715999383501,-0.4818736379746407,-1.2302730524944818,-0.4901247268766224,-1.1699105801484055,-1.4497497317019046,0.46040838587255445,-1.2371393935430863,1.1615434641123505,-0.6023134719216585,-1.148280890034562,-1.8457361259914336,-0.6047268180265959,0.3716421902263667,0.4402532208015348,-0.00297335804341776,1.1280747029345477,0.9032207046996934,-0.09758099369433305,0.8969243551750933,0.8942465841313424,1.065341008631978,-0.6542501539757344,-0.6581213947414579,1.090229872538178,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1 - malignant nodular melanoma.jpg,-0.3509404590562663,-0.3899072833132435,-0.2606936229533505,-1.4925452915137865,-0.31698338899620826,-0.9998445223738022,-0.2794045713622833,1.0972997601253882,-0.27173375006901496,-0.32704697260888804,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.0741015253205493,-0.6846257705757104,-0.95539281319231,-0.6998146363418264,-1.5118545219847184,-0.805529658027602,1.481327011417094,-0.5627887162486921,0.4014460445287368,-0.4541542867996389,0.10955580243120003,-1.1817437857851338,1.3374357624211535,1.5410998679192234,-0.8982535321529787,1.4688216092673352,1.8606828706283078,1.0534488934367991,1.0894282804532258,0.8211761509219503,0.9307992268106303,-0.12929399801910343,0.4095731609067282,1.5993503523213224,0.9233625449012347,0.23350837527760177,0.3716421902263667,-1.8372727269322788,-0.5725914943545538,-1.3185308071882487,-1.6853113514649998,0.9861620022770162,-1.3181490342551665,-0.6374971570397988,-0.7835979319689756,-0.6542501539757344,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
10 - Malignant melanoma 3 (SSM).jpg,-0.3509404590562663,-0.842606553278577,-0.2606936229533505,-0.9934179615417489,-0.31698338899620826,-0.9998445223738022,-0.2794045713622833,1.0972997601253882,-0.27173375006901496,-0.32704697260888804,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.0741015253205493,-0.6846257705757104,-0.37701858904641705,-0.6998146363418264,-0.9651400601149986,-0.805529658027602,-0.47891447681642646,-0.5627887162486921,0.8776815156987602,-0.4541542867996389,0.42890745715930473,-1.1817437857851338,1.0410974473756682,1.5410998679192234,-0.30619766166831813,1.4688216092673352,1.0770803381266638,1.794568717965202,1.0894282804532258,0.8211761509219503,1.002269730778331,-0.4965058605843888,0.4095731609067282,1.5993503523213224,0.9233625449012347,0.23350837527760177,0.3716421902263667,-1.0218451070866645,-0.22026988577575282,-1.2537763949163423,-1.5160752883409794,0.7120255719991931,-0.8069782520789532,-0.6374971570397988,-0.7835979319689756,-0.6542501539757344,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
11 - Benign hemangioma.jpg,-0.3509404590562663,-1.2953058232439107,-0.2606936229533505,-0.9934179615417489,-0.31698338899620826,-0.200511907649598,-0.2794045713622833,0.4027735499410264,-0.27173375006901496,-0.32704697260888804,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.0741015253205493,-0.6846257705757104,-0.95539281319231,-0.6998146363418264,-0.9651400601149986,-0.805529658027602,0.5012062673003339,-0.5627887162486921,-0.5510248978113099,-0.4541542867996389,0.7482591118874096,-1.1817437857851338,0.991707728201421,1.632227239640158,-0.34407329577959317,1.4688216092673352,1.6647822375028987,1.0534488934367983,1.9358209511716007,0.8211761509219503,1.0618284840847536,-1.0560458280908966,1.4214597937351183,0.9124425417323495,0.9233625449012347,0.44306717360365094,0.3716421902263667,-0.951277237195194,-0.1697742122855587,-0.31269610588956026,-1.446639292701856,0.7304410389918518,-0.7217831217162508,-0.6374971570397988,-0.7835979319689756,-0.3267351782071904,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
11 - malignant melanoma 4 (SSM).jpg,-0.3509404590562663,-0.842606553278577,-0.2606936229533505,-1.4925452915137865,-0.31698338899620826,-0.200511907649598,-0.2794045713622833,1.0972997601253882,-0.27173375006901496,1.8894476683184818,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.0741015253205493,-0.6846257705757104,-0.95539281319231,-0.6998146363418264,-0.9651400601149986,-0.805529658027602,0.011145895241953623,-0.5627887162486921,2.7826234003788537,-0.4541542867996389,2.983720694984143,-1.1817437857851338,1.4796781536429853,2.305111752427564,-1.0453602462100413,1.4688216092673352,2.6442854031299485,1.794568717965198,1.9358209511716007,0.8211761509219503,1.5139985391870958,-0.9314800310464969,0.4095731609067271,1.5993503523213186,1.6156372126243996,1.0717435685817995,0.3716421902263667,-2.6341920803666077,-1.36363650671126,-1.7664327545095173,-1.933278531817535,2.6519035955835144,-1.5635110096997484,-0.6374971570397988,-0.7835979319689756,-0.6542501539757344,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
12 - Malignant melanoma 5 (SSM).jpg,-0.3509404590562663,-1.2953058232439107,-0.2606936229533505,-0.9934179615417489,-0.31698338899620826,0.5988207070746064,-0.2794045713622833,2.1390890754019307,-0.27173375006901496,0.8819501042605862,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.0741015253205493,-0.6846257705757104,-0.37701858904641705,-0.6998146363418264,0.12828886362444086,-0.805529658027602,2.4614477555338548,-0.5627887162486921,0.4014460445287368,-0.4541542867996389,2.0256657307998287,-1.1817437857851338,1.4796781536429853,1.7364769528889101,-0.7593973390978801,1.4688216092673352,1.8606828706283096,1.0534488934368007,1.9358209511716007,0.8211761509219503,1.2910105668078593,-1.2405115310252142,1.421459793735115,1.5993503523213186,0.9233625449012309,1.0717435685817995,0.3716421902263667,-2.6341920803666077,-0.04708693678081274,-0.48937632331768693,-1.8112071961066052,1.735268816751425,-1.5635110096997484,-0.3311484088055706,-0.5781602719022031,-0.6542501539757344,-0.36716246232944494,-0.5643195275197616,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
15- Malignant ListaImagens\basal_cell_carcinoma102.jpg,-0.3509404590562663,-1.2953058232439107,-0.2606936229533505,-1.4925452915137865,-0.31698338899620826,-0.9998445223738022,-0.2794045713622833,-0.9862788704276969,-0.27173375006901496,1.2849491298837443,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-1.3390688620770252,-0.6846257705757104,-0.95539281319231,-0.6998146363418264,-1.5118545219847184,-0.805529658027602,-1.4590352209331867,-0.5627887162486921,0.4014460445287368,-0.4541542867996389,2.345017385527933,-1.1817437857851338,1.6337740774666374,2.780432123323968,-1.5078616849907478,2.0086405416196977,2.6442854031299525,2.5356885424936015,1.9358209511716007,0.8211761509219503,1.9313862823584973,-1.8851156668736349,2.433346426563506,2.286258162910291,1.6156372126243996,1.0717435685817995,0.3716421902263667,0.2232789022953597,-2.738646295513054,-2.615824385749724,-2.0787616417060346,1.9036867708556384,-1.8293198164313798,-0.6374971570397988,-0.7835979319689756,-0.6542501539757344,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
17 - Benign Junctional Nevus.jpg,-0.3509404590562663,-0.842606553278577,-0.2606936229533505,-1.4925452915137865,-0.31698338899620826,0.9984870144367084,-0.2794045713622833,0.0555104448488455,-0.27173375006901496,-0.9315455110436252,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-0.8091341885640733,-0.6846257705757104,-0.37701858904641705,-0.6998146363418264,0.12828886362444086,-0.805529658027602,0.5012062673003339,-0.5627887162486921,-0.5510248978113099,-0.4541542867996389,-0.5291475070250096,-1.1817437857851338,1.3127409028340289,0.44757140726797723,-1.1738504223752901,1.4688216092673352,0.29347780562501985,0.3123290689083978,0.24303560973484617,-0.982662674325003,0.21013831180293713,-0.3142634857582991,-0.6023134719216585,0.9124425417323495,0.23108787717806595,0.23350837527760177,-2.3195598769300503,-1.7564350669543587,0.19426226402797225,-1.447764920791647,-1.3230964929874494,0.7657534361976691,-1.2755514690738152,-0.6374971570397988,-0.7835979319689756,-0.4904926660914624,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
17 - Malignant ListaImagens\basal_cell_carcinoma116.jpg,-0.3509404590562663,-1.2953058232439107,-0.2606936229533505,-1.4925452915137865,-0.31698338899620826,0.5988207070746064,-0.2794045713622833,-0.2917526602433354,-0.27173375006901496,0.07595205301427013,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,-1.0145058586044753,-0.46637520303344826,-0.8091341885640733,-0.6846257705757104,-0.37701858904641705,-0.6998146363418264,-0.4184255982452788,-0.805529658027602,-0.9689748488748066,-0.5627887162486921,-0.07478942664128652,-0.4541542867996389,0.7482591118874096,-1.1817437857851338,1.0410974473756682,1.2494922784122244,0.29727427890743024,1.4688216092673352,0.29347780562501985,1.0534488934367991,1.9358209511716007,0.8211761509219503,1.2166812426814493,-1.1162508198996395,2.433346426563506,0.9124425417323503,0.9233625449012347,1.0717435685817995,0.3716421902263667,-1.0218451070866648,0.30024274030967074,0.1052219840773027,-1.3153237492617647,0.6376017950937395,-0.8069782520789532,-0.6374971570397988,-0.7835979319689756,-0.6542501539757344,-0.6581213947414579,-0.7711382025270039,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
18 - Benign Granuloma Pyogenicum.jpg,-0.3509404590562663,0.06279198665209006,-0.2606936229533505,0.503964028374364,-0.31698338899620826,0.9984870144367084,-0.2794045713622833,2.4863521804941113,-0.27173375006901496,-0.7300459982320461,-0.15578132086241597,-0.5181309256890293,-0.19842337779658728,-0.6430921079531746,-0.4983110705769795,-0.39435351906224914,-0.653149892690036,1.0727516731776836,-0.46637520303344826,-0.5441668518075973,-0.6846257705757104,1.936478307537154,-0.6998146363418264,2.8618611729730397,-0.805529658027602,0.011145895241953623,-0.5627887162486921,0.4014460445287368,-0.4541542867996389,-0.5291475070250096,-1.1817437857851338,-0.06128108459353399,0.10639052754478721,-0.8860955084035091,0.9290026769149721,0.29347780562501896,0.3123290689083953,-0.6033570609835325,-0.982662674325013,0.3990586772909027,-0.5843746050157357,0.4095731609067271,0.2255347311433775,0.23108787717806825,0.2335083752775971,0.3716421902263667,0.07614237284260131,0.48437675574830913,-0.5341050845875545,-0.25077804850264757,-0.5274953239092719,1.0945770576165608,1.2005953323655707,0.8599033485652053,1.1470822127512579,1.08763219973062,0.8834111975309356,1,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
